time,utilization,currentreplicas,desiredreplicas
2021-10-14 10:07:08,0,2,2
2021-10-14 10:07:18,47,2,2
2021-10-14 10:07:28,47,2,2
2021-10-14 10:07:38,159,2,4
2021-10-14 10:07:48,159,4,7
2021-10-14 10:07:59,159,4,7
2021-10-14 10:08:09,105,7,7
2021-10-14 10:08:19,0,7,7
2021-10-14 10:08:29,0,7,7
2021-10-14 10:08:39,0,7,7
2021-10-14 10:08:49,0,7,7
2021-10-14 10:09:00,0,7,7
2021-10-14 10:09:10,0,7,7
2021-10-14 10:09:20,0,7,7
2021-10-14 10:09:30,0,7,7
2021-10-14 10:09:40,0,7,7
2021-10-14 10:09:50,0,7,7
2021-10-14 10:10:00,0,7,7
2021-10-14 10:10:11,0,7,7
2021-10-14 10:10:21,0,7,7
2021-10-14 10:10:31,0,7,7
2021-10-14 10:10:41,0,7,7
2021-10-14 10:10:51,0,7,7
2021-10-14 10:11:01,0,7,7
2021-10-14 10:11:12,0,7,7
2021-10-14 10:11:22,0,7,7
2021-10-14 10:11:32,0,7,7
2021-10-14 10:11:42,0,7,7
2021-10-14 10:11:52,0,7,7
2021-10-14 10:12:02,0,7,7
2021-10-14 10:12:12,0,7,7
2021-10-14 10:12:23,0,7,7
2021-10-14 10:12:33,0,7,7
2021-10-14 10:12:43,0,7,7
2021-10-14 10:12:53,0,7,7
2021-10-14 10:13:03,0,7,2
2021-10-14 10:13:13,0,7,2
2021-10-14 10:13:23,0,2,2
2021-10-14 10:13:34,0,2,2
2021-10-14 10:13:44,0,2,2
2021-10-14 10:13:54,0,2,2
2021-10-14 10:14:04,0,2,2
2021-10-14 10:14:14,0,2,2
2021-10-14 10:14:24,0,2,2
2021-10-14 10:14:34,0,2,2
2021-10-14 10:14:45,0,2,2
2021-10-14 10:14:55,0,2,2
2021-10-14 10:15:05,0,2,2
2021-10-14 10:15:15,0,2,2
2021-10-14 10:15:25,0,2,2
2021-10-14 10:15:35,0,2,2
2021-10-14 10:15:46,0,2,2
2021-10-14 10:15:56,0,2,2
2021-10-14 10:16:06,0,2,2
2021-10-14 10:16:16,0,2,2
2021-10-14 10:16:26,0,2,2
2021-10-14 10:16:36,0,2,2
2021-10-14 10:16:46,0,2,2
2021-10-14 10:16:57,0,2,2
2021-10-14 10:17:07,0,2,2
2021-10-14 10:17:17,0,2,2
2021-10-14 10:17:27,0,2,2
2021-10-14 10:17:37,0,2,2
2021-10-14 10:17:47,0,2,2
2021-10-14 10:17:57,0,2,2
2021-10-14 10:18:08,0,2,2
2021-10-14 10:18:18,0,2,2
2021-10-14 10:18:28,0,2,2
2021-10-14 10:18:38,0,2,2
2021-10-14 10:18:48,0,2,2
2021-10-14 10:18:58,0,2,2
2021-10-14 10:19:09,0,2,2
2021-10-14 10:19:19,0,2,2
2021-10-14 10:19:29,0,2,2
2021-10-14 10:19:39,0,2,2
2021-10-14 10:19:49,0,2,2
2021-10-14 10:19:59,0,2,2
2021-10-14 10:20:09,0,2,2
2021-10-14 10:20:20,0,2,2
2021-10-14 10:20:30,0,2,2
2021-10-14 10:20:40,0,2,2
2021-10-14 10:20:50,0,2,2
2021-10-14 10:21:00,0,2,2
2021-10-14 10:21:10,0,2,2
2021-10-14 10:21:20,0,2,2
2021-10-14 10:21:31,0,2,2
2021-10-14 10:21:41,0,2,2
2021-10-14 10:21:51,0,2,2
2021-10-14 10:22:01,0,2,2
2021-10-14 10:22:11,0,2,2
2021-10-14 10:22:21,0,2,2
2021-10-14 10:22:32,0,2,2
2021-10-14 10:22:42,0,2,2
2021-10-14 10:22:52,0,2,2
2021-10-14 10:23:02,0,2,2
2021-10-14 10:23:12,0,2,2
2021-10-14 10:23:22,0,2,2
2021-10-14 10:23:32,0,2,2
2021-10-14 10:23:43,0,2,2
2021-10-14 10:23:53,0,2,2
2021-10-14 10:24:03,0,2,2
2021-10-14 10:24:13,0,2,2
2021-10-14 10:24:23,0,2,2
2021-10-14 10:24:33,0,2,2
2021-10-14 10:24:43,0,2,2
2021-10-14 10:24:54,0,2,2
2021-10-14 10:25:04,0,2,2
2021-10-14 10:25:14,0,2,2
2021-10-14 10:25:24,0,2,2
2021-10-14 10:25:34,0,2,2
2021-10-14 10:25:44,0,2,2
2021-10-14 10:25:55,0,2,2
2021-10-14 10:26:05,0,2,2
2021-10-14 10:26:15,0,2,2
2021-10-14 10:26:25,0,2,2
2021-10-14 10:26:35,0,2,2
2021-10-14 10:26:45,0,2,2
2021-10-14 10:26:55,0,2,2
2021-10-14 10:27:06,0,2,2
2021-10-14 10:27:16,0,2,2
2021-10-14 10:27:26,0,2,2
2021-10-14 10:27:36,0,2,2
2021-10-14 10:27:46,0,2,2
2021-10-14 10:27:56,0,2,2
2021-10-14 10:28:06,0,2,2
2021-10-14 10:28:17,0,2,2
2021-10-14 10:28:27,0,2,2
2021-10-14 10:28:37,0,2,2
2021-10-14 10:28:47,0,2,2
2021-10-14 10:28:57,0,2,2
2021-10-14 10:29:07,0,2,2
2021-10-14 10:29:18,0,2,2
2021-10-14 10:29:28,0,2,2
2021-10-14 10:29:38,0,2,2
2021-10-14 10:29:48,0,2,2
