time,utilization,currentreplicas,desiredreplicas
2021-10-13 22:05:48,0,2,2
2021-10-13 22:05:58,0,2,2
2021-10-13 22:06:08,0,2,2
2021-10-13 22:06:18,0,2,2
2021-10-13 22:06:28,5,2,2
2021-10-13 22:06:39,2,2,2
2021-10-13 22:06:49,2,2,2
2021-10-13 22:06:59,0,2,2
2021-10-13 22:07:09,7,2,2
2021-10-13 22:07:19,7,2,2
2021-10-13 22:07:29,0,2,2
2021-10-13 22:07:39,8,2,2
2021-10-13 22:07:49,8,2,2
2021-10-13 22:07:59,2,2,2
2021-10-13 22:08:10,3,2,2
2021-10-13 22:08:20,3,2,2
2021-10-13 22:08:30,3,2,2
2021-10-13 22:08:40,6,2,2
2021-10-13 22:08:50,6,2,2
2021-10-13 22:09:00,0,2,2
2021-10-13 22:09:10,6,2,2
2021-10-13 22:09:20,6,2,2
2021-10-13 22:09:30,0,2,2
2021-10-13 22:09:41,6,2,2
2021-10-13 22:09:51,6,2,2
2021-10-13 22:10:01,0,2,2
2021-10-13 22:10:11,7,2,2
2021-10-13 22:10:21,7,2,2
2021-10-13 22:10:31,0,2,2
2021-10-13 22:10:41,5,2,2
2021-10-13 22:10:51,5,2,2
2021-10-13 22:11:02,3,2,2
2021-10-13 22:11:12,6,2,2
2021-10-13 22:11:22,6,2,2
2021-10-13 22:11:32,5,2,2
2021-10-13 22:11:42,5,2,2
2021-10-13 22:11:52,5,2,2
2021-10-13 22:12:02,1,2,2
2021-10-13 22:12:12,4,2,2
2021-10-13 22:12:22,4,2,2
2021-10-13 22:12:33,0,2,2
2021-10-13 22:12:43,7,2,2
2021-10-13 22:12:53,7,2,2
2021-10-13 22:13:03,0,2,2
2021-10-13 22:13:13,3,2,2
2021-10-13 22:13:23,3,2,2
2021-10-13 22:13:33,6,2,2
2021-10-13 22:13:43,3,2,2
2021-10-13 22:13:54,0,2,2
2021-10-13 22:14:04,0,2,2
2021-10-13 22:14:14,6,2,2
2021-10-13 22:14:24,2,2,2
2021-10-13 22:14:34,2,2,2
2021-10-13 22:14:44,5,2,2
2021-10-13 22:14:54,0,2,2
2021-10-13 22:15:04,0,2,2
2021-10-13 22:15:14,6,2,2
2021-10-13 22:15:25,0,2,2
2021-10-13 22:15:35,0,2,2
2021-10-13 22:15:45,8,2,2
2021-10-13 22:15:55,0,2,2
2021-10-13 22:16:05,0,2,2
2021-10-13 22:16:15,7,2,2
2021-10-13 22:16:25,0,2,2
2021-10-13 22:16:35,0,2,2
2021-10-13 22:16:45,8,2,2
2021-10-13 22:16:56,0,2,2
2021-10-13 22:17:06,0,2,2
2021-10-13 22:17:16,6,2,2
2021-10-13 22:17:26,0,2,2
2021-10-13 22:17:36,0,2,2
2021-10-13 22:17:46,9,2,2
2021-10-13 22:17:56,0,2,2
2021-10-13 22:18:06,0,2,2
2021-10-13 22:18:17,7,2,2
2021-10-13 22:18:27,0,2,2
2021-10-13 22:18:37,0,2,2
2021-10-13 22:18:47,4,2,2
2021-10-13 22:18:57,2,2,2
2021-10-13 22:19:07,2,2,2
2021-10-13 22:19:17,8,2,2
2021-10-13 22:19:27,0,2,2
2021-10-13 22:19:37,0,2,2
2021-10-13 22:19:48,8,2,2
2021-10-13 22:19:58,0,2,2
2021-10-13 22:20:08,0,2,2
2021-10-13 22:20:18,5,2,2
2021-10-13 22:20:28,0,2,2
2021-10-13 22:20:38,0,2,2
2021-10-13 22:20:48,8,2,2
2021-10-13 22:20:58,0,2,2
2021-10-13 22:21:09,0,2,2
2021-10-13 22:21:19,0,2,2
2021-10-13 22:21:29,0,2,2
2021-10-13 22:21:39,0,2,2
2021-10-13 22:21:49,0,2,2
2021-10-13 22:21:59,0,2,2
2021-10-13 22:22:09,0,2,2
2021-10-13 22:22:19,0,2,2
2021-10-13 22:22:29,0,2,2
2021-10-13 22:22:40,0,2,2
2021-10-13 22:22:50,0,2,2
2021-10-13 22:23:00,0,2,2
2021-10-13 22:23:10,0,2,2
2021-10-13 22:23:20,0,2,2
2021-10-13 22:23:30,0,2,2
2021-10-13 22:23:40,0,2,2
2021-10-13 22:23:50,0,2,2
2021-10-13 22:24:01,0,2,2
2021-10-13 22:24:11,0,2,2
2021-10-13 22:24:21,0,2,2
2021-10-13 22:24:31,0,2,2
2021-10-13 22:24:41,0,2,2
2021-10-13 22:24:51,0,2,2
2021-10-13 22:25:01,0,2,2
2021-10-13 22:25:11,0,2,2
2021-10-13 22:25:21,0,2,2
2021-10-13 22:25:32,0,2,2
2021-10-13 22:25:42,0,2,2
2021-10-13 22:25:52,0,2,2
2021-10-13 22:26:02,0,2,2
2021-10-13 22:26:12,0,2,2
2021-10-13 22:26:22,0,2,2
2021-10-13 22:26:32,0,2,2
2021-10-13 22:26:42,0,2,2
2021-10-13 22:26:52,0,2,2
2021-10-13 22:27:03,0,2,2
2021-10-13 22:27:13,0,2,2
2021-10-13 22:27:23,0,2,2
2021-10-13 22:27:33,0,2,2
2021-10-13 22:27:43,0,2,2
2021-10-13 22:27:53,0,2,2
2021-10-13 22:28:03,0,2,2
2021-10-13 22:28:13,0,2,2
2021-10-13 22:28:24,0,2,2
2021-10-13 22:28:34,0,2,2
2021-10-13 22:28:44,0,2,2
2021-10-13 22:28:54,0,2,2
2021-10-13 22:29:04,0,2,2
2021-10-13 22:29:14,0,2,2
2021-10-13 22:29:24,0,2,2
2021-10-13 22:29:34,0,2,2
2021-10-13 22:29:44,0,2,2
2021-10-13 22:29:55,0,2,2
2021-10-13 22:30:05,0,2,2
2021-10-13 22:30:15,0,2,2
2021-10-13 22:30:25,0,2,2
2021-10-13 22:30:35,0,2,2
2021-10-13 22:30:45,0,2,2
2021-10-13 22:30:55,0,2,2
2021-10-13 22:31:05,0,2,2
2021-10-13 22:31:15,0,2,2
2021-10-13 22:31:26,0,2,2
2021-10-13 22:31:36,0,2,2
2021-10-13 22:31:46,0,2,2
2021-10-13 22:31:56,0,2,2
2021-10-13 22:32:06,0,2,2
2021-10-13 22:32:16,0,2,2
2021-10-13 22:32:26,0,2,2
2021-10-13 22:32:36,0,2,2
2021-10-13 22:32:47,0,2,2
2021-10-13 22:32:57,0,2,2
2021-10-13 22:33:07,0,2,2
2021-10-13 22:33:17,0,2,2
2021-10-13 22:33:27,0,2,2
2021-10-13 22:33:37,0,2,2
2021-10-13 22:33:47,0,2,2
2021-10-13 22:33:57,0,2,2
2021-10-13 22:34:08,0,2,2
2021-10-13 22:34:18,0,2,2
2021-10-13 22:34:28,0,2,2
2021-10-13 22:34:38,0,2,2
2021-10-13 22:34:48,0,2,2
2021-10-13 22:34:58,0,2,2
2021-10-13 22:35:08,0,2,2
2021-10-13 22:35:18,0,2,2
2021-10-13 22:35:28,0,2,2
2021-10-13 22:35:39,0,2,2
2021-10-13 22:35:49,0,2,2
2021-10-13 22:35:59,0,2,2
2021-10-13 22:36:09,0,2,2
2021-10-13 22:36:19,0,2,2
2021-10-13 22:36:29,0,2,2
2021-10-13 22:36:39,0,2,2
2021-10-13 22:36:49,15,2,2
2021-10-13 22:36:59,1,2,2
